Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
39,Male,Bachelors,Rajshahi,11,79623,8047.7,92.84,19,15,4,5,91,3,10,2,27,No
49,Male,High School,Dhaka,14,148125,29530.61,90.62,20,3,3,2,79,0,1,5,28,Yes
56,Female,Bachelors,Rajshahi,2,68474,10296.0,75.49,11,6,0,3,94,2,6,10,15,No
55,Male,Bachelors,Khulna,9,102046,16620.42,94.95,11,7,3,2,24,2,7,2,12,No
34,Female,Bachelors,Barisal,5,88948,17588.61,97.03,22,5,1,4,27,2,10,7,29,No
44,Male,Masters,Chittagong,9,85408,14526.91,79.54,12,12,3,3,27,2,10,3,0,No
53,Female,High School,Sylhet,1,88555,15819.82,95.29,16,29,2,4,63,3,7,3,38,No
26,Female,Bachelors,Dhaka,7,109955,15841.34,99.31,20,5,0,1,95,3,8,1,46,Yes
24,Male,Masters,Chittagong,10,133003,22802.88,87.23,24,20,1,4,44,0,5,7,48,Yes
45,Male,Masters,Sylhet,6,149376,15169.81,79.39,14,28,0,5,54,3,8,6,29,No
26,Male,High School,Barisal,1,100916,16399.88,76.51,20,6,4,4,50,3,6,3,7,No
27,Female,Bachelors,Dhaka,4,122769,12157.52,83.63,21,9,3,5,83,1,9,10,43,Yes
42,Female,Bachelors,Barisal,6,107942,12909.98,75.92,10,27,4,4,57,0,2,7,26,Yes
38,Male,PhD,Sylhet,7,116545,11920.97,77.18,8,21,2,3,33,2,9,10,48,Yes
54,Other,High School,Rajshahi,10,34710,6061.88,87.89,18,5,2,5,15,3,5,8,27,No
26,Female,Masters,Sylhet,13,38138,6644.7,95.48,24,2,3,4,91,1,7,4,16,No
46,Male,Bachelors,Khulna,14,113768,21255.08,91.5,9,12,1,4,54,3,2,10,12,No
23,Male,High School,Khulna,3,138876,10311.52,79.3,21,7,2,3,40,3,2,6,35,Yes
24,Female,Bachelors,Chittagong,7,17098,2404.79,95.61,22,27,3,2,17,1,7,1,0,Yes
48,Other,Bachelors,Sylhet,5,148069,16365.04,83.15,18,20,2,1,78,3,4,3,41,Yes
38,Male,Bachelors,Chittagong,1,100173,9415.15,99.39,9,23,3,5,68,3,2,3,7,Yes
37,Female,High School,Chittagong,2,77947,9968.04,85.4,24,29,1,1,37,1,7,4,28,Yes
32,Male,Bachelors,Khulna,6,41360,7653.08,90.97,15,26,1,4,17,1,7,1,31,No
50,Female,High School,Barisal,14,46195,4624.1,77.24,14,13,4,1,50,2,7,8,41,Yes
54,Female,Masters,Barisal,12,92535,5023.01,86.83,17,29,0,1,58,0,10,1,22,Yes
24,Male,Bachelors,Barisal,1,102498,8356.05,87.98,24,24,3,5,63,2,3,10,11,No
54,Male,Bachelors,Dhaka,2,42083,8197.61,98.03,20,18,4,5,73,2,4,1,3,No
58,Female,Bachelors,Chittagong,6,49685,5596.69,75.11,18,15,1,1,43,1,2,8,32,Yes
54,Male,PhD,Chittagong,1,32429,5577.83,88.93,20,10,1,2,88,3,2,3,8,Yes
31,Female,Bachelors,Dhaka,11,72175,13578.28,87.83,8,29,0,4,29,2,5,9,24,No
58,Male,Bachelors,Sylhet,13,130370,9520.51,79.24,20,8,0,5,56,0,7,8,19,No
50,Male,Masters,Barisal,5,110898,11067.96,86.14,11,18,2,1,81,2,2,7,41,Yes
35,Male,Bachelors,Chittagong,10,40261,5087.45,98.86,18,20,0,4,21,3,10,7,40,No
34,Male,Bachelors,Khulna,7,132201,15530.58,91.23,20,29,0,1,76,2,4,10,14,Yes
36,Male,High School,Khulna,10,69287,4208.54,97.44,22,24,1,2,21,3,6,10,5,No
37,Male,Masters,Barisal,8,35539,4343.28,85.43,5,4,0,1,34,0,2,8,41,Yes
53,Female,High School,Chittagong,10,80349,7381.33,77.61,7,28,4,2,66,2,4,2,4,Yes
28,Female,Bachelors,Khulna,1,103520,8124.76,84.74,7,18,3,4,92,3,9,2,3,No
