Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
50,Female,Bachelors,Rajshahi,6,106271,6847.85,98.87,11,23,2,5,95,2,7,4,4,Yes
36,Male,Bachelors,Khulna,3,44158,4100.5,92.66,23,12,0,5,40,1,10,1,40,Yes
29,Male,Bachelors,Barisal,13,56087,10119.15,99.85,21,2,4,2,72,0,7,3,28,No
42,Female,Bachelors,Rajshahi,7,113114,6881.95,92.19,13,29,2,1,64,2,2,4,34,No
40,Female,Bachelors,Khulna,14,78121,14169.81,75.86,15,23,2,1,70,0,7,2,49,Yes
44,Female,Masters,Rajshahi,4,44874,5772.72,95.68,9,16,3,5,94,2,2,6,33,Yes
32,Female,Bachelors,Chittagong,3,133067,14802.38,82.12,6,17,1,1,45,2,2,8,3,No
32,Female,High School,Rajshahi,14,108443,10459.55,86.15,19,5,4,5,49,0,6,6,44,No
45,Male,Masters,Dhaka,7,65821,6224.53,82.8,16,12,0,5,32,0,6,10,48,No
57,Male,Bachelors,Rajshahi,11,140675,13486.57,81.71,14,15,0,5,35,1,8,3,8,No
45,Female,Bachelors,Khulna,11,85582,15637.58,85.79,14,28,3,2,27,1,5,9,13,No
24,Male,Bachelors,Barisal,7,147603,23405.3,84.47,24,6,0,4,88,2,5,4,44,No
43,Female,Bachelors,Barisal,4,47787,7189.96,90.83,15,13,2,1,43,0,10,6,4,No
23,Male,Bachelors,Sylhet,12,89703,15232.68,95.33,14,11,4,1,95,1,1,4,49,No
45,Male,Masters,Rajshahi,7,46705,4136.53,82.43,11,26,0,2,37,2,4,4,46,No
51,Male,High School,Barisal,11,94381,13468.77,80.34,18,17,4,2,58,1,1,2,26,No
59,Female,Bachelors,Rajshahi,14,136800,16280.56,91.67,17,9,0,5,73,2,10,10,10,No
23,Female,Masters,Barisal,2,129605,21691.5,91.76,9,25,1,5,80,1,5,2,29,No
42,Female,PhD,Rajshahi,1,69653,6713.74,97.53,23,16,1,4,72,0,8,2,36,No
54,Male,Bachelors,Khulna,12,107018,15675.65,75.4,14,17,4,1,71,3,1,2,38,Yes
33,Male,Bachelors,Rajshahi,2,125592,22899.42,96.33,12,20,1,2,51,3,3,8,33,No
43,Female,Bachelors,Khulna,4,116626,12866.48,88.03,22,24,1,4,33,2,1,10,23,No
